"id";"Title";"IDGeoDevise";"CodeDevise";"CodeISODevise";"SymboleDevise";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"116";"Sudanese pound";"ID-GEO-DEV-000116";"SDG";"";"ج.س.";"Oui";"116";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:13";"09/10/2026 08:02:13";"";""
"117";"Swedish krona";"ID-GEO-DEV-000117";"SEK";"";"kr";"Oui";"117";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:14";"09/10/2026 08:02:14";"";""
"118";"Singapore dollar";"ID-GEO-DEV-000118";"SGD";"";"$";"Oui";"118";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:16";"09/10/2026 08:02:16";"";""
"119";"Saint Helena pound";"ID-GEO-DEV-000119";"SHP";"";"£";"Oui";"119";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:17";"09/10/2026 08:02:17";"";""
"120";"Sierra Leonean leone";"ID-GEO-DEV-000120";"SLE";"";"Le";"Oui";"120";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:19";"09/10/2026 08:02:19";"";""
"121";"Somali shilling";"ID-GEO-DEV-000121";"SOS";"";"Sh";"Oui";"121";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:20";"09/10/2026 08:02:20";"";""
"122";"Surinamese dollar";"ID-GEO-DEV-000122";"SRD";"";"$";"Oui";"122";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:22";"09/10/2026 08:02:22";"";""
"123";"South Sudanese pound";"ID-GEO-DEV-000123";"SSP";"";"£";"Oui";"123";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:23";"09/10/2026 08:02:23";"";""
"124";"São Tomé and Príncipe dobra";"ID-GEO-DEV-000124";"STN";"";"Db";"Oui";"124";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:24";"09/10/2026 08:02:24";"";""
"125";"Salvadoran colón";"ID-GEO-DEV-000125";"SVC";"";"₡";"Oui";"125";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:26";"09/10/2026 08:02:26";"";""
"126";"Syrian pound";"ID-GEO-DEV-000126";"SYP";"";"£";"Oui";"126";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:27";"09/10/2026 08:02:27";"";""
"127";"Eswatini lilangeni";"ID-GEO-DEV-000127";"SZL";"";"L";"Oui";"127";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:29";"09/10/2026 08:02:29";"";""
"128";"Thai baht";"ID-GEO-DEV-000128";"THB";"";"฿";"Oui";"128";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:30";"09/10/2026 08:02:30";"";""
"129";"Tajikistani somoni";"ID-GEO-DEV-000129";"TJS";"";"SM";"Oui";"129";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:32";"09/10/2026 08:02:32";"";""
"130";"Turkmenistani manat";"ID-GEO-DEV-000130";"TMT";"";"m";"Oui";"130";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:33";"09/10/2026 08:02:33";"";""
"131";"Tunisian dinar";"ID-GEO-DEV-000131";"TND";"";"د.ت";"Oui";"131";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:35";"09/10/2026 08:02:35";"";""
"132";"Tongan paʻanga";"ID-GEO-DEV-000132";"TOP";"";"T$";"Oui";"132";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:36";"09/10/2026 08:02:36";"";""
"133";"Turkish lira";"ID-GEO-DEV-000133";"TRY";"";"₺";"Oui";"133";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:38";"09/10/2026 08:02:38";"";""
"134";"Trinidad and Tobago dollar";"ID-GEO-DEV-000134";"TTD";"";"$";"Oui";"134";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:39";"09/10/2026 08:02:39";"";""
"135";"New Taiwan dollar";"ID-GEO-DEV-000135";"TWD";"";"NT$";"Oui";"135";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:40";"09/10/2026 08:02:40";"";""
"136";"Tanzanian shilling";"ID-GEO-DEV-000136";"TZS";"";"Sh";"Oui";"136";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:42";"09/10/2026 08:02:42";"";""
"137";"Ukrainian hryvnia";"ID-GEO-DEV-000137";"UAH";"";"₴";"Oui";"137";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:43";"09/10/2026 08:02:43";"";""
"138";"Ugandan shilling";"ID-GEO-DEV-000138";"UGX";"";"USh";"Oui";"138";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:45";"09/10/2026 08:02:45";"";""
"139";"United States dollar";"ID-GEO-DEV-000139";"USD";"";"$";"Oui";"139";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:46";"09/10/2026 08:02:46";"";""
"140";"Uruguayan peso";"ID-GEO-DEV-000140";"UYU";"";"$";"Oui";"140";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:48";"09/10/2026 08:02:48";"";""
"141";"Uzbekistani sum";"ID-GEO-DEV-000141";"UZS";"";"so'm";"Oui";"141";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:49";"09/10/2026 08:02:49";"";""
"142";"Venezuelan bolívar soberano";"ID-GEO-DEV-000142";"VES";"";"Bs.";"Oui";"142";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:50";"09/10/2026 08:02:50";"";""
"143";"Vietnamese đồng";"ID-GEO-DEV-000143";"VND";"";"₫";"Oui";"143";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:52";"09/10/2026 08:02:52";"";""
"144";"Vanuatu vatu";"ID-GEO-DEV-000144";"VUV";"";"Vt";"Oui";"144";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:53";"09/10/2026 08:02:53";"";""
"145";"Samoan tālā";"ID-GEO-DEV-000145";"WST";"";"T";"Oui";"145";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:55";"09/10/2026 08:02:55";"";""
"146";"Central African CFA franc";"ID-GEO-DEV-000146";"XAF";"";"FCFA";"Oui";"146";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:56";"09/10/2026 08:02:56";"";""
"147";"East Caribbean dollar";"ID-GEO-DEV-000147";"XCD";"";"$";"Oui";"147";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:58";"09/10/2026 08:02:58";"";""
"148";"Caribbean guilder";"ID-GEO-DEV-000148";"XCG";"";"ƒ";"Oui";"148";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:59";"09/10/2026 08:02:59";"";""
"149";"West African CFA franc";"ID-GEO-DEV-000149";"XOF";"";"CFA";"Oui";"149";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:03:00";"09/10/2026 08:03:00";"";""
"150";"CFP franc";"ID-GEO-DEV-000150";"XPF";"";"₣";"Oui";"150";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:03:02";"09/10/2026 08:03:02";"";""
"151";"Yemeni rial";"ID-GEO-DEV-000151";"YER";"";"﷼";"Oui";"151";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:03:04";"09/10/2026 08:03:04";"";""
"152";"South African rand";"ID-GEO-DEV-000152";"ZAR";"";"R";"Oui";"152";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:03:05";"09/10/2026 08:03:05";"";""
"153";"Zambian kwacha";"ID-GEO-DEV-000153";"ZMW";"";"ZK";"Oui";"153";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:03:06";"09/10/2026 08:03:06";"";""
"154";"Zimbabwe Gold";"ID-GEO-DEV-000154";"ZWG";"";"ZiG";"Oui";"154";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:03:08";"09/10/2026 08:03:08";"";""
